STABR,LIBID,LIBNAME,CNTY,BKMOB,MASTER,LIBRARIA,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,DB_LO_OT,DB_ST,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,REGBOR,TOTCIR,ELMATCIR,GPTERMS,PITUSR,YR_SUB,OBEREG,FIPSST,FIPSCO,FIPSPLAC,CNTYPOP,LAT,LON
TX,177,HASKELL COUNTY LIBRARY,HASKELL,0,0,0.91,$83170.00,$0.00,$0.00,1045,$84215.00,,$5722.00,$0.00,$0.00,$5722.00,,$78294.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11968,0,0,51,51,9,2063,9959,2142,30905,0,13,4806,2014,6,48,207,32696,5884,33.1587181,-99.7339024
VT,VERSHIRE,VERSHIRE COMMUNITY,ORANGE,0,0,0,$0.00,$0.00,$356.00,0,$356.00,,$131.00,$0.00,$0.00,$131.00,,$1346.00,$0.00,$0.00,$0.00,$0.00,$0.00,$77.00,4626,0,0,0,0,3,468,1485,322,1164,-1,0,0,2014,1,50,17,0,28879,43.9717054,-72.3359747
AK,AK0003-002,ANDERSON VILLAGE LIBRARY,DENALI,0,0,0.3,$7500.00,$6500.00,$0.00,513,$14513.00,,$2349.00,$0.00,$678.00,$3027.00,,$14514.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15805,0,0,49,49,7,600,1050,120,1125,0,4,300,2014,8,2,68,3220,1933,64.3435982,-149.1786346
AK,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,KENAI PENINSULA,0,0,0.68,$0.00,$14162.00,$876.00,18757,$33795.00,,$3671.00,$0.00,$484.00,$4155.00,,$21598.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,16761,0,0,49,49,10,1404,9371,480,14808,0,8,2039,2014,8,2,122,3110,57067,59.7796042,-151.8400068
AK,AK0002-011,ANCHORAGE PUBLIC LIBRARY,ANCHORAGE,0,23,27.8,$9475176.00,$56224.00,$171974.00,277194,$9980568.00,$6704545.00,$578380.00,$171959.00,$192644.00,$942983.00,3188828,$10836356.00,$0.00,$1763500.00,$0.00,$0.00,$1763500.00,$0.00,513068,11371,10,49,59,629,10608,804323,102056,1614248,78914,134,141638,2014,8,2,20,3000,301629,61.187677,-149.876781
AK,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,BETHEL,0,0,3,$67600.00,$6500.00,$0.00,189469,$263569.00,$250491.00,$7139.00,$0.00,$1985.00,$9124.00,6930,$266545.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,33675,165,138,49,187,50,2652,31226,1219,10546,0,9,18200,2014,8,2,50,6520,17806,60.7857552,-161.8029566
AK,AK0007-002,BIG LAKE PUBLIC LIBRARY,MATANUSKA-SUSITNA,0,0,1,$314258.00,$6500.00,$4451.00,0,$325209.00,$252721.00,$22253.00,$0.00,$0.00,$22253.00,46234,$321208.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,22876,8777,0,49,49,55,2548,43267,2720,62944,2507,23,11236,2014,8,2,170,7070,95892,61.546612,-149.818403
AK,AK0008-002,CANTWELL COMMUNITY LIBRARY,DENALI,0,0,0.5,$4000.00,$6500.00,$7000.00,3424,$20924.00,,$4643.00,$0.00,$1025.00,$5668.00,,$20414.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,13251,0,0,49,49,12,750,2900,145,4785,0,1,750,2014,8,2,68,10150,1933,63.461051,-148.757407
AK,AK0011-002,CHINIAK PUBLIC LIBRARY,KODIAK ISLAND,0,0,0,$3000.00,$6500.00,$28598.00,46200,$84298.00,,$3783.00,$40.00,$612.00,$4435.00,,$82215.00,$3000.00,$0.00,$0.00,$0.00,$3000.00,$2600.00,4895,40,0,49,49,25,480,684,53,720,40,4,149,2014,8,2,150,13860,14115,57.6122291,-152.2325806
AK,AK0014-002,COLD BAY PUBLIC LIBRARY,ALEUTIANS EAST,0,0,0,$3300.00,$6500.00,$12660.00,52800,$75260.00,,$1961.00,$0.00,$1469.00,$3430.00,,$75261.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7250,0,0,49,49,24,500,1592,105,1804,0,6,384,2014,8,2,13,16530,3351,55.206634,-162.7133916
AK,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,KENAI PENINSULA,0,0,0,$2210.00,$6500.00,$10467.00,12515,$31692.00,,$4633.00,$200.00,$708.00,$5541.00,,$29985.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3312,116,0,49,49,0,1092,3623,520,3846,200,4,465,2014,8,2,122,0,57067,60.487401,-150.010519
AK,AK0016-002,CORDOVA PUBLIC LIBRARY,VALDEZ-CORDOVA,0,0,3.5,$395676.00,$6500.00,$1067.00,13463,$416706.00,$323271.00,$11963.00,$3000.00,$1587.00,$16550.00,70184,$410005.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2081657.00,22275,8777,1,49,50,32,2444,22694,1981,9902,1115,5,5260,2014,8,2,261,17410,9770,60.5479952,-145.766031
AK,AK0017-003,CRAIG PUBLIC LIBRARY,PR WALES-OUTER KE,0,0,1,$112267.00,$13650.00,$9507.00,35528,$170952.00,,$12367.00,$1872.00,$4588.00,$18827.00,,$170087.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10243,8777,0,49,49,80,2256,20751,2491,32101,5442,4,4159,2014,8,2,198,17740,6402,55.4761261,-133.1514564
AK,AK0019-002,DELTA COMMUNITY LIBRARY,SE FAIRBANK,0,0,1,$197417.00,$6500.00,$16000.00,3637,$223554.00,$130345.00,$12106.00,$1025.00,$500.00,$13631.00,62637,$206613.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15392,8777,1,49,50,10,2600,45271,6010,44805,358,8,16827,2014,8,2,240,18620,6969,64.0465711,-145.7334852
AK,AK0020-002,DILLINGHAM PUBLIC LIBRARY,DILLINGHAM,0,0,1,$129087.00,$6500.00,$18258.00,54160,$208005.00,,$8288.00,$0.00,$5047.00,$13335.00,,$208134.00,$0.00,$250000.00,$0.00,$0.00,$250000.00,$0.00,22578,8777,1,49,50,38,1988,32263,2238,20120,980,10,8085,2014,8,2,70,18950,4988,59.0402542,-158.4667361
AK,AK0021-002,EAGLE PUBLIC LIBRARY,SE FAIRBANK,0,0,0.48,$2000.00,$6500.00,$21490.00,61149,$91139.00,,$2643.00,$539.00,$3868.00,$7050.00,,$99630.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9480,23,1,49,50,37,713,2184,300,8469,1,5,1104,2014,8,2,240,20380,6969,64.786619,-141.201518
AK,AK0075-002,TOK COMMUNITY LIBRARY,SE FAIRBANK,0,0,0,$0.00,$11500.00,$856.00,17525,$29881.00,,$2567.00,$0.00,$1138.00,$3705.00,,$25388.00,$0.00,$0.00,$0.00,$0.00,$0.00,$10290.00,11620,0,0,49,49,10,1409,2674,726,2797,0,4,1082,2014,8,2,240,0,6969,63.910262,-142.214893
AK,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,FAIRBANKS NORTH STAR,1,11,12,$5657613.00,$19500.00,$131172.00,104007,$5912292.00,$4698637.00,$382775.00,$125541.00,$109805.00,$618121.00,578003,$5894761.00,$0.00,$190159.00,$0.00,$0.00,$190159.00,$2189385.00,338612,8971,32,49,81,641,7112,345266,58763,674040,26499,30,99567,2014,8,2,90,24230,100807,64.838318,-147.738617
AK,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,YUKON-KOYUKUK,0,0,0.38,$17639.00,$6500.00,$6000.00,541,$30680.00,,$3185.00,$0.00,$311.00,$3496.00,,$31391.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9421,0,0,49,49,42,750,3513,400,3826,0,2,1250,2014,8,2,290,27530,5654,64.7480237,-156.8723252
AK,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,VALDEZ-CORDOVA,0,0,0,$0.00,$6500.00,$9413.00,50465,$66378.00,,$6390.00,$350.00,$2256.00,$8996.00,,$69749.00,$0.00,$21908.00,$0.00,$0.00,$21908.00,$0.00,17425,4,1,49,50,18,1508,12992,1226,19614,14,7,2916,2014,8,2,261,0,9770,62.198412,-146.050333
AK,AK0028-002,GUSTAVUS PUBLIC LIBRARY,SKAGWAY-ANGOON,0,0,0.88,$41450.00,$6500.00,$3072.00,26662,$77684.00,,$5281.00,$0.00,$0.00,$5281.00,,$77784.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11905,0,0,49,49,28,1248,10689,658,7329,0,6,1840,2014,8,2,105,30940,2134,58.4130833,-135.726709
AK,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,HAINES,0,0,1.8,$381855.00,$13673.00,$58862.00,51918,$506308.00,$356370.00,$13647.00,$3000.00,$4217.00,$20864.00,126978,$504212.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,31834,8777,1,49,50,127,3016,82826,3081,103262,1117,11,20937,2014,8,2,100,31050,2569,59.232844,-135.4480632
AK,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,DENALI,0,0,0.6,$9860.00,$6500.00,$346.00,37216,$53922.00,,$7426.00,$500.00,$479.00,$8405.00,,$38959.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,23299,8777,0,49,49,19,1120,7881,960,16654,631,7,818,2014,8,2,68,32150,1933,63.8734912,-149.0170333
AK,AK0031-002,HOLLIS PUBLIC LIBRARY,PR WALES-OUTER KE,0,0,0,$4000.00,$6500.00,$9777.00,22725,$43002.00,,$1601.00,$0.00,$1464.00,$3065.00,,$46270.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,18000,2,0,49,49,17,1050,1404,250,2734,0,6,300,2014,8,2,198,0,6402,55.781881,-133.075907
AK,AK0032-002,HOMER PUBLIC LIBRARY,KENAI PENINSULA,0,1,1,$835597.00,$9776.00,$12666.00,53816,$911855.00,$518903.00,$41478.00,$4208.00,$4739.00,$50425.00,145957,$715285.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,38205,8777,4,49,53,145,2917,115918,9598,107737,8630,31,31553,2014,8,2,122,33140,57067,59.640502,-151.544299
AK,AK0033-002,HOPE COMMUNITY LIBRARY,KENAI PENINSULA,0,0,0,$0.00,$9869.00,$1000.00,10402,$21271.00,,$3097.00,$0.00,$0.00,$3097.00,,$20871.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5925,0,0,49,49,5,1188,2352,169,1508,0,2,780,2014,8,2,122,68560,57067,60.109417,-149.445094
AK,AK0035-004,JUNEAU PUBLIC LIBRARIES,JUNEAU,0,4.75,4.75,$2173750.00,$19500.00,$121312.00,20938,$2335500.00,$1683182.00,$117482.00,$24979.00,$20428.00,$162889.00,467608,$2313679.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,121027,95494,11,49,60,415,7584,290318,21012,180667,9562,59,40176,2014,8,2,110,36400,32626,58.2984755,-134.4036617
AK,AK0037-002,KASILOF PUBLIC LIBRARY,KENAI PENINSULA,0,0,0.75,$13280.00,$6500.00,$8020.00,6241,$34041.00,,$3351.00,$0.00,$405.00,$3756.00,,$45059.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,12598,0,0,49,49,24,1008,4500,365,5117,0,5,1960,2014,8,2,122,16420,57067,60.3125872,-151.2603381
AK,AK0038-002,KENAI COMMUNITY LIBRARY,KENAI PENINSULA,0,3,3.35,$841955.00,$6500.00,$7406.00,5063,$860924.00,$554266.00,$57906.00,$6699.00,$4587.00,$69192.00,156550,$780008.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,76637,8899,0,49,49,129,3072,100955,12207,139822,10368,40,16339,2014,8,2,122,38420,57067,60.5585732,-151.2442311
AK,AK0039-002,KETCHIKAN PUBLIC LIBRARY,KETCHIKAN GATEWAY,0,3.96,4.35,$1733060.00,$7934.00,$0.00,53701,$1794695.00,$927288.00,$85572.00,$5549.00,$77722.00,$168843.00,235067,$1331198.00,$0.00,$4803785.00,$0.00,$76916.00,$4880701.00,$8704970.00,58939,8777,4,49,53,172,2538,125338,8308,141873,5018,6,9127,2014,8,2,130,38970,13695,55.352711,-131.650729
AK,AK0040-002,A. HOLMES JOHNSON MEMORIAL LIBRARY,KODIAK ISLAND,0,1,1,$825846.00,$10161.00,$3953.00,3637,$843597.00,$682854.00,$52547.00,$2940.00,$3429.00,$58916.00,87029,$828799.00,$0.00,$0.00,$0.00,$0.00,$0.00,$12822650.00,71566,8777,0,49,49,128,3344,164190,10501,136525,4205,14,49574,2014,8,2,150,40950,14115,57.7939208,-152.3986029
AK,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,NORTHWEST ARCTIC,0,1,2.25,$133641.00,$13000.00,$7213.00,148214,$302068.00,$194309.00,$15240.00,$0.00,$6004.00,$21244.00,73087,$288640.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21420,0,210,49,259,98,2792,32300,1497,10196,0,14,7800,2014,8,2,188,41830,7697,66.8970613,-162.5928328
AK,AK0044-002,MCGRATH COMMUNITY LIBRARY,YUKON-KOYUKUK,0,0,0.5,$6000.00,$6500.00,$8404.00,50844,$71748.00,,$3526.00,$500.00,$0.00,$4026.00,,$59218.00,$6000.00,$0.00,$0.00,$0.00,$6000.00,$0.00,13610,0,0,49,49,18,1040,3557,353,879,0,9,1175,2014,8,2,290,30060,5654,62.909259,-160.065507
AK,AK0046-002,CENTENNIAL LIBRARY,PR WALES-OUTER KE,0,0,1,$40650.00,$6500.00,$7280.00,0,$54430.00,,$4277.00,$0.00,$431.00,$4708.00,,$64368.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,13069,9162,2,49,51,21,960,2654,339,1589,45,11,1650,2014,8,2,198,48870,6402,55.128483,-131.575207
AK,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,BRISTOL BAY,0,0,1,$295878.00,$13000.00,$5900.00,1157,$315935.00,$228017.00,$9064.00,$0.00,$3010.00,$12074.00,44497,$284588.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,12948,0,0,49,49,14,3224,9282,467,6495,0,13,3553,2014,8,2,60,39630,955,58.6820703,-156.6675022
AK,AK0048-002,NENANA PUBLIC LIBRARY,YUKON-KOYUKUK,0,0,0.8,$90767.00,$6500.00,$16066.00,7132,$120465.00,,$6569.00,$191.00,$2249.00,$9009.00,,$112057.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7297,228,0,49,49,10,1664,6196,1048,8210,8,7,1768,2014,8,2,290,53050,5654,64.5624425,-149.0928496
AK,AK0051-002,NINILCHIK COMMUNITY LIBRARY,KENAI PENINSULA,0,0,0.38,$5189.00,$6500.00,$4472.00,14211,$30372.00,,$3451.00,$0.00,$696.00,$4147.00,,$29740.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9825,0,0,49,49,2,1450,4420,1103,7935,0,5,1154,2014,8,2,122,31710,57067,60.0277445,-151.6922728
AK,AK0052-002,KEGOAYAH KOZGA LIBRARY,NOME,0,0,1,$274711.00,$8481.00,$13599.00,42211,$339002.00,$222480.00,$20334.00,$0.00,$211.00,$20545.00,88789,$331814.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,20082,0,0,49,49,37,2244,26000,2113,14772,0,8,10438,2014,8,2,180,54920,9884,64.4973222,-165.4054974
AK,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,SE FAIRBANK,0,0,0.25,$24860.00,$6500.00,$0.00,0,$31360.00,,$4499.00,$0.00,$1310.00,$5809.00,,$34347.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,4325,0,0,49,49,28,480,900,80,1145,0,1,400,2014,8,2,240,56220,6969,62.95927,-141.9362156
AK,AK0055-002,PALMER PUBLIC LIBRARY,MATANUSKA-SUSITNA,0,0,1,$616321.00,$6500.00,$5953.00,6199,$634973.00,$375693.00,$34739.00,$0.00,$0.00,$34739.00,117144,$527576.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,58117,8999,0,49,49,51,2288,97082,8855,140462,8643,18,14967,2014,8,2,170,58660,95892,61.599967,-149.113048
AK,AK0056-002,PELICAN PUBLIC LIBRARY,SKAGWAY-ANGOON,0,0,0.25,$17600.00,$6500.00,$12685.00,25479,$62264.00,,$1287.00,$0.00,$2135.00,$3422.00,,$55141.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9990,0,0,49,49,38,728,2980,312,4020,0,3,523,2014,8,2,105,59650,2134,57.9587365,-136.2239227
AK,AK0057-002,PETERSBURG PUBLIC LIBRARY,WRANGELL-PETERSBU,0,1,1,$273190.00,$6500.00,$9578.00,16466,$305734.00,$211847.00,$13721.00,$3000.00,$7000.00,$23721.00,36660,$272228.00,$1300707.00,$3043966.00,$0.00,$520000.00,$4864673.00,$3918240.00,25744,8023,0,49,49,112,2550,67269,3181,72938,3039,2,3577,2014,8,2,195,0,3213,56.851799,-133.131502
AK,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,KODIAK ISLAND,0,0,0.5,$3000.00,$6500.00,$20752.00,45427,$75679.00,,$1957.00,$0.00,$952.00,$2909.00,,$69168.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9504,38,0,49,49,24,1140,2387,188,2105,50,5,732,2014,8,2,150,63610,14115,57.86639,-152.883684
AK,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,ALEUTIANS WEST,0,0,0.3,$5121.00,$6500.00,$5040.00,1270,$17931.00,,$4606.00,$0.00,$0.00,$4606.00,,$22971.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,13280,3,2,49,51,43,960,3600,323,2980,0,14,1300,2014,8,2,16,66470,5692,57.1209898,-170.2800724
AK,AK0064-002,SELDOVIA PUBLIC LIBRARY,KENAI PENINSULA,0,0,0,$0.00,$6500.00,$4054.00,11162,$21716.00,,$3718.00,$0.00,$771.00,$4489.00,,$17075.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8315,0,0,49,49,16,913,4743,317,6213,0,10,750,2014,8,2,122,68340,57067,59.4386818,-151.7145869
AK,AK0065-002,SEWARD COMMUNITY LIBRARY MUSEUM,KENAI PENINSULA,0,1,2,$431089.00,$6500.00,$8541.00,18612,$464742.00,$312126.00,$15419.00,$0.00,$3207.00,$18626.00,146956,$477708.00,$0.00,$1331351.00,$507104.00,$0.00,$1838455.00,$5052637.00,29341,8777,5,49,54,48,3172,60298,6941,47481,2029,9,10976,2014,8,2,122,68560,57067,60.1016983,-149.4387634
AK,AK0067-002,KETTLESON MEMORIAL LIBRARY,SITKA,0,1.6,3,$852387.00,$6500.00,$2978.00,12000,$873865.00,$554939.00,$72500.00,$4100.00,$16100.00,$92700.00,228486,$876125.00,$0.00,$5700000.00,$0.00,$0.00,$5700000.00,$37000.00,65635,8777,2,49,51,284,3592,122015,12797,122928,2598,12,47773,2014,8,2,220,70540,9014,57.0495852,-135.3345211
AK,AK0068-002,SKAGWAY PUBLIC LIBRARY,SKAGWAY-ANGOON,0,0,1,$195173.00,$6500.00,$2978.00,2009,$206660.00,,$7334.00,$0.00,$472.00,$7806.00,,$299651.00,$525000.00,$667000.00,$0.00,$100000.00,$1292000.00,$1292000.00,8412,15,0,49,49,50,2040,10800,1652,7471,0,5,6066,2014,8,2,230,70760,1012,59.4606145,-135.3080232
AK,AK0069-002,SOLDOTNA PUBLIC LIBRARY,KENAI PENINSULA,0,1,1,$348446.00,$6500.00,$780.00,2348,$358074.00,$266059.00,$41688.00,$200.00,$6257.00,$48145.00,34242,$348446.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,42200,8777,0,49,49,140,2804,64012,8755,47414,326,6,5453,2014,8,2,122,71640,57067,60.4835693,-151.0674151
AK,AK0070-002,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,MATANUSKA-SUSITNA,0,0,1,$269014.00,$6500.00,$791.00,0,$276305.00,,$16254.00,$0.00,$0.00,$16254.00,,$276304.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,13907,8777,0,49,49,37,2132,23833,964,18890,888,7,3301,2014,8,2,170,74525,95892,61.705952,-148.977161
AK,AK0072-002,TALKEETNA PUBLIC LIBRARY,MATANUSKA-SUSITNA,0,0,1.63,$242961.00,$6500.00,$3795.00,0,$253256.00,$177656.00,$27665.00,$0.00,$0.00,$27665.00,48114,$253435.00,$385000.00,$2800000.00,$0.00,$0.00,$3185000.00,$89708.00,16102,8777,0,49,49,43,2184,36292,3231,59649,2977,10,9996,2014,8,2,170,74830,95892,62.3215917,-150.1080973
AK,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,YUKON-KOYUKUK,0,0,0.5,$5000.00,$6500.00,$0.00,56638,$68138.00,,$2080.00,$0.00,$1420.00,$3500.00,,$69325.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9230,0,0,49,49,27,380,1450,238,1395,0,4,450,2014,8,2,290,0,5654,65.329839,-151.957314
AK,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,SKAGWAY-ANGOON,0,0,0.25,$11551.00,$6500.00,$8193.00,23760,$50004.00,,$3000.00,$0.00,$1666.00,$4666.00,,$50616.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,6685,52,0,49,49,1,800,2062,206,2825,13,8,433,2014,8,2,105,76260,2134,57.7800673,-135.2169506
AK,AK0077-002,VALDEZ CONSORTIUM LIBRARY,VALDEZ-CORDOVA,0,1,1,$410009.00,$6500.00,$3978.00,22120,$442607.00,$280748.00,$20971.00,$3000.00,$3058.00,$27029.00,90381,$398158.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,49450,8777,239,49,288,109,2860,38042,757,22041,1821,10,6955,2014,8,2,261,82200,9770,61.129882,-146.353396
AK,AK0078-002,WASILLA PUBLIC LIBRARY,MATANUSKA-SUSITNA,0,3,3,$994579.00,$6500.00,$1500.00,37625,$1040204.00,$832849.00,$64956.00,$1008.00,$12389.00,$78353.00,127296,$1038498.00,$0.00,$175000.00,$0.00,$0.00,$175000.00,$18819.00,54186,8789,0,49,49,83,2002,88878,10818,168011,9967,7,15786,2014,8,2,170,83080,95892,61.583125,-149.441482
AK,AK0080-002,WILLOW PUBLIC LIBRARY,MATANUSKA-SUSITNA,0,0,1.88,$258094.00,$6500.00,$3719.00,0,$268313.00,$192335.00,$18211.00,$0.00,$0.00,$18211.00,57768,$268314.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,23840,8777,0,49,49,50,2300,46138,2544,36337,2344,11,6227,2014,8,2,170,0,95892,61.33519,-150.851603
AK,AK0081-002,IRENE INGLE PUBLIC LIBRARY,WRANGELL,0,0,1,$271703.00,$7052.00,$21747.00,2379,$302881.00,$233054.00,$25287.00,$1500.00,$0.00,$26787.00,34077,$293918.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,33802,8777,2,49,51,73,1858,27180,1275,40209,614,7,5200,2014,8,2,275,86380,2404,56.4730653,-132.386938
